trial,img,earlyResp,earlyLatency,resp,latency,lateResp,lateLatency
23,134a.jpg,3,2.316572961,1,,,
24,135a.jpg,,,1,,4,0.481157422
25,139a.jpg,,,2,1.677979624,,
26,141a.jpg,,,1,1.460193653,,
27,144a.jpg,,,1,,1,0.003848979
28,149a.jpg,2,1.386515831,1,1.209368869,,
29,152a.jpg,,,1,0.421421089,,
30,154a.jpg,4,0.174783135,1,0.574088038,,
31,160a.jpg,,,1,1.967957846,,
32,162a.jpg,,,1,,,
33,164a.jpg,,,1,,,
34,165a.jpg,,,1,,,
0,167a.jpg,3,0.000335467,1,1.66395269,3,0.91886587
1,169a.jpg,,,1,0.65286572,,
2,175a.jpg,2,2.8993215,1,2.386097307,,
3,115b.jpg,,,3,0.295199751,,
4,121b.jpg,,,4,1.227282386,,
5,122b.jpg,,,4,0.941270638,,
6,125b.jpg,,,4,2.797241921,3,0.828012009
7,126b.jpg,,,4,1.201324036,,
8,127b.jpg,,,1,1.522003389,,
9,130b.jpg,,,4,0.686268509,,
10,131b.jpg,2,0.960701904,4,0.350278503,,
11,136b.jpg,,,4,1.00216342,,
12,142b.jpg,,,4,0.87832725,,
13,145b.jpg,,,4,0.696722979,,
14,147b.jpg,,,1,0.408932709,,
15,150b.jpg,,,4,,,
16,153b.jpg,3,1.803823203,4,,,
17,155b.jpg,,,3,1.922351922,,
18,157b.jpg,,,4,,2,0.668344373
19,158b.jpg,,,4,,,
20,161b.jpg,4,0.718278117,4,1.476589971,,
21,170b.jpg,2,1.253965781,4,0.396093503,4,0.132772255
22,171b.jpg,2,2.226730793,4,,1,0.489140007
23,172b.jpg,,,4,0.72959941,1,0.890578342
24,176b.jpg,,,3,2.780810711,,
25,178b.jpg,4,2.071330542,4,,,
26,foil_1209.jpg,,,4,1.708887437,,
27,foil_1249.jpg,,,4,0.780621536,,
28,foil_1211.jpg,,,4,1.43370608,,
29,foil_1212.jpg,2,1.993898829,4,0.401321294,,
30,059a.jpg,4,1.818649883,1,1.376808363,,
31,063a.jpg,,,1,,,
32,068a.jpg,,,1,0.311354491,,
33,070a.jpg,3,0.135425457,1,1.165320383,,
34,087a.jpg,3,2.469275748,1,0.786630133,,
0,092a.jpg,2,0.000338694,1,,3,0.047868493
1,095a.jpg,,,4,,,
2,097a.jpg,2,0.646099573,1,,2,0.367641774
3,100a.jpg,3,0.410148853,1,1.750012552,,
4,104a.jpg,,,1,1.462194591,,
5,109a.jpg,,,1,1.596132797,,
6,112a.jpg,,,1,0.433913832,,
7,147a.jpg,,,1,,2,0.636817337
8,150a.jpg,,,1,,4,0.859915907
9,153a.jpg,,,1,,,
10,155a.jpg,,,2,,2,0.761432982
11,157a.jpg,,,1,0.381467868,,
12,161a.jpg,,,1,0.927544414,,
13,170a.jpg,2,0.775822466,1,0.638188121,,
14,171a.jpg,2,2.974504084,1,,,
15,172a.jpg,3,0.696954596,1,1.466773257,,
16,176a.jpg,3,0.529089294,1,0.607233196,,
17,178a.jpg,,,1,0.628789513,,
18,079b.jpg,,,4,0.47087951,,
19,082b.jpg,,,4,0.647237041,,
20,083b.jpg,,,4,0.582297873,,
21,090b.jpg,,,4,0.595417195,,
22,098b.jpg,,,1,0.552583385,,
23,099b.jpg,,,1,0.520454362,,
24,102b.jpg,,,4,,3,0.894227966
25,103b.jpg,,,2,1.91267081,,
26,105b.jpg,2,0.855872011,2,0.518168176,,
27,113b.jpg,3,0.3447524,1,0.780676893,,
28,117b.jpg,3,0.347805445,1,1.20049194,,
29,123b.jpg,,,4,,2,0.411865912
30,128b.jpg,,,4,,,
31,149b.jpg,4,1.51281876,4,1.687386641,,
32,152b.jpg,,,4,0.513272408,,
33,154b.jpg,,,1,2.624566606,,
34,160b.jpg,,,2,,4,0.51512478
,162b.jpg,,,4,,,
,164b.jpg,,,4,,,
,165b.jpg,,,4,,,
,167b.jpg,,,4,,,
,169b.jpg,,,2,,,
,175b.jpg,,,4,,,
,foil_1205.jpg,,,4,,,
,foil_1206.jpg,,,4,,,
,foil_1207.jpg,,,4,,,
,foil_1208.jpg,,,4,,,
